高等数学·上册: 第七版,高等教育出版社,同济大学数学系,https://ipfs.cat/xipfs/?cid=QmSyGhnH8XB6WdkyYRzYNSpNZ1K2pxMi23dTXQW3ZuoiPA&blake2b=bafykbzacec2fijv77kgihxgzo7zsbp4krmkc4xs3pipohwrar53mszlirzep2&filename=高等数学·上册 第七版 (同济大学数学系) (Z-Library).pdf
高等数学·下册: 第七版,高等教育出版社,同济大学数学系,https://ipfs.cat/xipfs/?cid=QmUiCFVCJBHte2dBkH3yRzsqRmiapESnkuphn2WftZRgoy&blake2b=bafykbzacedbpdve4cjg3ubszfl5ky6lkymhl66oreo76vtv3ma2r5eon65btu&filename=高等数学·下册 第七版 (同济大学数学系) (Z-Library).pdf
线性代数 Linear Algebra,高等教育出版社,同济大学数学系,https://ipfs.cat/xipfs/?cid=QmWkPWbMU6rmWFWvyDtysyh9gEyWddMxG55uQ4t8KxTxw5&blake2b=bafykbzacedxwhamq7uckyetamp6adqhwpdyyoh2n35eutooooq62iwxf3xiby&filename=线性代数 Linear Algebra (同济大学数学系) (Z-Library).pdf
